campaign,run,decision,summary,ledger
locomotion2_amp,run_04,REJECT (wrong lever; see run_05 discriminator-regularization fix),"Hypothesis REJECTED: paw lift went to 2-4mm, if anything slightly worse than run_03's 3-9mm. Correct diagnosis found instead: discriminator score separation (expert +7.6 vs policy -7.6 to -8.2, i.e. ~15) has been near-saturated since early training in every run so far (run_01 through run_04 all show the same -7 to -8 policy score) -- classic AMP discriminator-dominance pathology, where a too-confident discriminator gives near-zero style-reward GRADIENT regardless of style_reward_scale (scaling ~0 by 2.5x is still ~0). This is why weight tuning didn't move anything.",history/amp_runs.csv
locomotion2_amp,run_05,REJECT (wrong lever,"REJECTED: discriminator loss floor unchanged (~0.03, same as every prior run) even at 3x the gradient penalty -- confirms this isn't primarily a discriminator-regularization-strength issue. Paw lift still 3.6-6.9mm, no real improvement. New hypothesis found instead: skrl_amp_cfg.yaml has fixed_log_std=True, initial_log_std=-2.9 (action std ~0.055 in normalized units, ~0.008 rad actual joint noise per step) carried over UNCHANGED from the prior rev_3-era tuning without reconsidering it for a freshly-initialized policy in a new env. With entropy_loss_scale=0.0 too, the policy has essentially no mechanism to ever explore into a large-amplitude stepping strategy -- it can only get there via gradient drift from a near-zero-swing initialization, which the (already-established) weak/saturated style gradient can't provide. This is a genuinely different, stronger hypothesis than run_03/04 (an exploration-starvation problem, not a reward-balance problem).",history/amp_runs.csv
locomotion2_amp,run_06,KEEP -- current best,"BREAKTHROUGH: real gait finally achieved. Joint swings now up to 0.75 rad (43deg) on SP/knee joints (vs 0.02-0.14 rad in runs 1-5), paw lift up to 121mm (fr) with others 18-47mm -- squarely in the dog reference's ~40-80mm range, vs 2-9mm before. Dominant frequency dropped from a nonsensical 6-12Hz to a plausible ~3.7Hz walking cadence. Visually confirmed via cropped frame montage: genuine cyclic leg articulation, not a frozen pose. Still 6/6 eval gates pass (100% survival incl. 60s sustained, stands still on zero command 0.004 m/s). Tracking RMSE grew to 0.037-0.055 (was 0.005-0.011) and torque saturation to ~25% / joint-limit contact to ~17% (was ~0%) -- the real cost of larger, more natural swings -- but nothing alarming (roll RMS still only ~3deg, survival unaffected).",history/amp_runs.csv
backward,1,REJECT,Signed backward reference; attempt03 warm start,history/backward_runs.csv
backward,2,FAILED,Lateral geometry trial; file-copy failure before training,history/backward_runs.csv
backward,3,KEEP,Lateral excursion 1.00 → 0.70,history/backward_runs.csv
backward,4,REJECT,35% stance-shape blend (old contacts),history/backward_runs.csv
backward,5,KEEP,Correct contact timing + collision-hull contact measurement,history/backward_runs.csv
backward,6,REJECT,Lateral excursion 0.70 → 0.45,history/backward_runs.csv
backward,7,KEEP,20% stance-shape blend (corrected contacts),history/backward_runs.csv
backward,8,REJECT,Residual EMA alpha 0.30 → 0.20,history/backward_runs.csv
turning,loop_0001,REJECT,yaw L/R=0.06296238526063495/-0.00861717001690061; BL clearance=2.0428071721803844mm,history/turning_runs.csv
turning,loop_0002,KEEP,yaw L/R=0.3269851644739735/-0.34998245760465524; BL clearance=1.624584215304868mm,history/turning_runs.csv
turning,loop_0003,KEEP,yaw L/R=0.4281650325339774/-0.40955986870861044; BL clearance=2.226702454860049mm,history/turning_runs.csv
turning,loop_0004,KEEP,yaw L/R=0.4246893481824805/-0.4215810634481052; BL clearance=2.939040728007336mm,history/turning_runs.csv
turning,loop_0005,KEEP,yaw L/R=0.4307371766314857/-0.42268454601779115; BL clearance=4.50266319742788mm,history/turning_runs.csv
turning,loop_0006,REJECT,yaw L/R=0.4380197916905317/-0.4132467745735797; BL clearance=5.211945842257281mm,history/turning_runs.csv
turning,loop_0007,REJECT,yaw L/R=0.4554220669077687/-0.4141398652291203; BL clearance=6.309112741158652mm,history/turning_runs.csv
turning,loop_0008,REJECT,yaw L/R=0.4502898864392292/-0.41848446520383387; BL clearance=4.37889019024399mm,history/turning_runs.csv
unified_command,loop_0001,REJECT,"All 10 cases survive 60 seconds and straight gait/transition retention improves, but backward turns visibly stall/rock, pivots translate forward, and forward-left exceeds a joint limit by 0.0113 rad. Not eligible for champion promotion.",history/unified_runs.csv
unified_command,loop_0002,KEEP,"KEEP as experimental learning baseline only: all ten cases survive, pivot translation is near zero, backward turns now move backward, hard limits remain valid and saturation improves. Yaw undershoot, rocking and backward speed variation remain; NOT a final command policy and visual goal not passed.",history/unified_runs.csv
unified_command,loop_0003,KEEP,"Experimental improvement only: all ten cases survive, yaw improves modestly, backward-left saturation falls from 10.24% to 6.71% and roll RMS falls to 7.8 degrees. Existing walks retained. Pivot rear-left dragging and yaw undershoot persist; NOT final or visually approved.",history/unified_runs.csv
unified_command,loop_0004,REJECT,"All cases survived, but stand roll RMS rose to 21.95 degrees and torque saturation to 82.49%; pivot rear-left duty rose to 98.9/99.3%, left pivot acceleration to 9.27 and rocking to 9.44 degrees. Video confirms a leaning stand and anchored pivot rather than clean four-leg stepping. Backward-left yaw improvement does not outweigh these regressions. Retain loop 3; discard the extra-lift reference for subsequent training.",history/unified_runs.csv
unified_command,loop_0005,REJECT,"Stand and transitions fall; stand video shows repeated collapse. Balanced command coverage modestly improves left/right pivot yaw to +0.237/-0.126 and reduces rocking, but survival is mandatory. Loop 3 remains champion. The next targeted recovery may use this rejected checkpoint as an unpromoted training parent while repairing stand supervision.",history/unified_runs.csv
unified_command,loop_0006,KEEP,"Experimental recovery, not final visual approval. All ten cases survive 60 seconds again; stand has 0% torque saturation and 0.14 rad/s² acceleration. Versus loop 3, right pivot yaw improves from -0.086 to -0.128 with reduced rocking, left pivot rocking falls below 8 degrees, and backward-left acceleration/saturation improve. Teacher-like straight and forward turning gaits remain. Pivot feet still anchor and yaw/transition tracking gates fail, so goal_met remains false.",history/unified_runs.csv
unified_command,loop_0007,REJECT,"All cases survive and pivot yaw improves to +0.271/-0.228, but stand develops a persistent 18.79-degree lean and forward saturation rises to 18.57%, failing retention. Video confirms the lean. Loop 6 remains champion. The final recovery attempt addresses the measured inconsistency between standing feedforward and frozen walking reward targets, without changing applied reference geometry or actuator physics.",history/unified_runs.csv
unified_command,loop_0008,REJECT,"All ten cases survive and pivot yaw improves to +0.294/-0.272, but stand still has a persistent 17.40-degree lean versus loop6 5.86 degrees. Video confirms an unacceptable stand posture; backward yaw and transitions also remain below goal. Reject final promotion; retain loop6 as the best balanced experimental policy. Eight-attempt bound reached: stop training. The unified merge is functional but the full natural command gait goal is not met.",history/unified_runs.csv
stand_fix,loop_0001,REJECT,policy residual destabilizes corrected stand,history/stand_fix_runs.csv
stand_fix,loop_0002,KEEP,upright still stand and smooth transitions; held moving metrics exactly match loop6,history/stand_fix_runs.csv
july_amp,v9,HISTORICAL,rev_3-era AMP visual coordination benchmark; not used as Baseline 1 checkpoint,history/archived_provenance
locomotion2_exact_retarget,dog02_walk_02,REJECT,kinematically valid retarget; Stage 4 physics fell,history/archived_provenance
